GRID_API_READY
GRID_WS_OK
GRID_MARKET_UPDATE bid=80559.7 ask=80567.66 spread=7.960000000006403 source=WS
GRID_MARKET_UPDATE bid=80559.7 ask=80567.66 spread=7.960000000006403 source=WS
GRID_MARKET_UPDATE bid=80559.7 ask=80567.66 spread=7.960000000006403 source=WS
GRID_MARKET_UPDATE bid=80555.66 ask=80567.66 spread=12.0 source=WS
GRID_MARKET_UPDATE bid=80555.66 ask=80567.66 spread=12.0 source=WS
GRID_MARKET_UPDATE bid=80555.66 ask=80567.66 spread=12.0 source=WS
GRID_MARKET_UPDATE bid=80555.66 ask=80567.66 spread=12.0 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80567.66 spread=11.990000000005239 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80567.66 spread=11.990000000005239 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80567.66 spread=11.990000000005239 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80567.66 spread=11.990000000005239 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80567.3 spread=11.630000000004657 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80567.29 spread=11.619999999995343 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80567.29 spread=11.619999999995343 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80567.29 spread=11.619999999995343 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80567.07 spread=11.400000000008731 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80567.07 spread=11.400000000008731 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80567.07 spread=11.400000000008731 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80567.07 spread=11.400000000008731 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80567.07 spread=11.400000000008731 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80567.07 spread=11.400000000008731 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80567.06 spread=11.389999999999418 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80567.06 spread=11.389999999999418 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80567.06 spread=11.389999999999418 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80567.06 spread=11.389999999999418 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80567.06 spread=11.389999999999418 source=WS
GRID_MARKET_UPDATE bid=80555.67 ask=80567.06 spread=11.389999999999418 source=WS
